source_id,disposition,baird_control,i2r_requirement,component_integration,acceptance_test,stop_gate,owner
SRC-001,selected,"ADR-001; ADR-003; ADR-004","R-039","BC-001 through BC-013","T-039 deployed end-to-end verification","No working deployed core","Architecture owner"
SRC-002,selected,"ADR-005; ENGINEERING_BLUEPRINT Result contract","R-040","BC-006 through BC-011","T-040 expected/observed/evidence/result per check","Any selected check lacks both comparison sides","Rules owner"
SRC-003,selected,"ENGINEERING_BLUEPRINT Comparison policy shape: brand","R-041","BC-008; BC-009","T-041 exact/case/punctuation/difference brand fixtures","Brand policy branch missing","Rules owner"
SRC-004,selected,"ENGINEERING_BLUEPRINT Comparison policy shape: ABV","R-042","BC-008; BC-009","T-042 ABV/proof parsing and relationship fixtures","Numeric or proof branch untested","Rules owner"
SRC-005,selected,"WARNING_CAPABILITY_MATRIX","R-043","BC-008 through BC-011","T-043 every active warning row and aggregate branch","Omitted active row or false clean","Rules owner"
SRC-006,selected,"ENGINEERING_BLUEPRINT Reference contract; Result contract","R-044","BC-002; BC-008 through BC-010","T-044 every selected field family schema/rule/fixture","Committed family missing","Validation owner"
SRC-007,selected,"ADR-001; ADR-012","R-045","BC-001; build/network policy","T-045 no COLA config plus offline runtime","COLA or undeclared network dependency","Architecture owner"
SRC-008,selected,"ENGINEERING_BLUEPRINT Reference contract; API surface","R-046","BC-002; BC-003","T-046 schema/length/conditional-origin/API contract","Undocumented or permissive reference input","Backend owner"
SRC-009,selected,"ADR-005; ADR-011; UX_PRODUCT_SPEC Status language","R-047","BC-010; BC-011; browser session state","T-047 no legal action plus separate reviewer disposition","System evidence mutated or legal authority implied","Product owner"
SRC-010,selected,"ADR-007; ENGINEERING_BLUEPRINT Image processing policy","R-048","BC-004 through BC-006; BC-011","T-048 one-to-six panels/originals/coverage negative invariant","Absent panel becomes clean","Imaging owner"
SRC-011,selected,"BG-002; BAIRD_FEASIBILITY_REPORT","R-049","Browser/API/Fly integration","T-049 fixed valid-attempt completion and warmed p95","Any incomplete attempt or p95 above 5.0 s","Performance owner"
SRC-012,selected,"UX_PRODUCT_SPEC Experience principle; Information architecture","R-050","BC-001; BC-002","T-050 unassisted sample/manual usability journey","Primary journey needs external instructions","Product owner"
SRC-013,selected,"UX_PRODUCT_SPEC Information architecture","R-051","BC-001","T-051 one-click Try sample and navigation absence","Hidden primary action or second sample activation","Frontend owner"
SRC-014,selected,"UX_PRODUCT_SPEC Status language; Field row anatomy","R-052","BC-001; BC-011","T-052 plain reason/recovery copy for every state","Unexplained or unactionable state","Content owner"
SRC-015,selected,"UX_PRODUCT_SPEC Accessibility and responsive behavior","R-053","BC-001","T-053 text/icon/contrast/axe/keyboard/NVDA/zoom","Core accessibility envelope fails","Accessibility owner"
SRC-016,selected,"UX_PRODUCT_SPEC Accessibility and responsive behavior","R-054","BC-001; BC-002","T-054 keyboard/focus/error-association journey","Keyboard block or lost focus","Accessibility owner"
SRC-017,selected,"UX_PRODUCT_SPEC Processing surface; SECURITY_DATA_FLOW Latency budget and timeout order","R-055","BC-001; BC-003; BC-013","T-055 step/elapsed/7.5-second safety/recovery behavior","Indefinite or misleading processing state","Frontend owner"
SRC-018,selected,"UX_PRODUCT_SPEC Evidence interactions; ADR-007","R-056","BC-001; BC-005; BC-011","T-056 original/derived labeling and evidence mapping","Original evidence hidden or confused","Frontend owner"
SRC-019,selected,"ENGINEERING_BLUEPRINT Comparison policy shape: brand","R-057","BC-009","T-057 Stone's Throw case-only Review fixture","Case-only variation becomes Match/Mismatch","Rules owner"
SRC-020,selected,"ENGINEERING_BLUEPRINT Comparison policy shape","R-058","BC-008; BC-009","T-058 per-field exact/normalized/review transformation matrix","Generic fuzzy or hidden transformation","Rules owner"
SRC-021,selected,"ADR-005; FIXTURE_ALLOCATION","R-059","BC-009; BC-010; BC-014","T-059 missing/low-confidence/absent-panel no-false-clean","Any false clean","Validation owner"
SRC-022,selected,"ADR-005; WARNING_CAPABILITY_MATRIX Aggregation","R-060","BC-009; BC-010","T-060 four field states and three summary branches","Nondeterministic or incomplete aggregation","Rules owner"
SRC-023,selected,"ENGINEERING_BLUEPRINT Failure and fallback rules","R-061","BC-005 through BC-010","T-061 poor-image versus difference and no-invention fixtures","Quality failure reported as label difference","Imaging owner"
SRC-024,selected,"ADR-011; UX_PRODUCT_SPEC Field row anatomy","R-062","BC-006; BC-011","T-062 confidence provenance and no-verdict assertions","Confidence presented as truth/approval","Product owner"
SRC-025,selected,"WARNING_CAPABILITY_MATRIX Applicability","R-063","BC-009; regulatory registry","T-063 0.5-percent applicability source/version fixture","Wrong applicability or unversioned rule","Rules owner"
SRC-026,selected,"WARNING_CAPABILITY_MATRIX Prescribed wording","R-064","BC-008; BC-009","T-064 exact wording/mutation/unreadable tests","Readable mutation becomes Match","Rules owner"
SRC-027,selected,"WARNING_CAPABILITY_MATRIX Uppercase heading","R-065","BC-008; BC-009","T-065 uppercase/title/lowercase/colon tests","Title case becomes Match","Rules owner"
SRC-028,selected_with_capability_limit,"WARNING_CAPABILITY_MATRIX Emphasis rows","R-066","BC-005; BC-009","T-066 calibrated Match/Mismatch/uncertainty emphasis fixtures","Insufficient evidence becomes Match","Rules owner"
SRC-029,selected_with_capability_limit,"WARNING_CAPABILITY_MATRIX Separation/continuity/contrast/legibility","R-067","BC-005; BC-009","T-067 independent layout/quality state and aggregation tests","Active presentation row omitted","Rules owner"
SRC-030,human_only_limit,"WARNING_CAPABILITY_MATRIX Physical type size","R-068","BC-001; BC-011","T-068 UI/README human-only limitation and no-Match test","Physical size implied verified","Product owner"
SRC-031,selected_with_capability_limit,"ENGINEERING_BLUEPRINT Result contract: panels; UX_PRODUCT_SPEC Evidence interactions","R-069","BC-005; BC-011","T-069 panel/region coverage support and limitation cases","Unsupported field-of-vision claim","Imaging owner"
SRC-032,boundary,"ADR-002; scope-boundary.md","R-070","BC-002; BC-009","T-070 unsupported beverage profile rejection and claim scan","Wine/malt completeness claim","Product owner"
SRC-033,selected,"ADR-008; ENGINEERING_BLUEPRINT Regulatory registry","R-071","BC-009; build/meta","T-071 authority/date/version/digest/recheck","Unversioned or stale released rule","Release owner"
SRC-034,selected_with_bounded_claim,"ENGINEERING_BLUEPRINT Image processing policy; FIXTURE_ALLOCATION","R-072","BC-005; BC-006; BC-014","T-072 controlled angle/light/glare/blur/perspective cases","Resilience claim exceeds evidence","Imaging owner"
SRC-035,selected,"SECURITY_DATA_FLOW Upload boundary","R-073","BC-004; BC-005; BC-013","T-073 two-admission pre-body/64-MiB reservation plus bytes/type/decode/pixels/panels/time/working-memory bounds","Any resource boundary bypass or third body consumption","Security owner"
SRC-036,selected,"ADR-005; ENGINEERING_BLUEPRINT Candidate contract","R-074","BC-006 through BC-010","T-074 unreadable and decoy no-invention fixtures","Unreadable evidence becomes value/Match","Validation owner"
SRC-037,not_applicable_to_selected_core,"ADR-004; ADR-012","R-075","BC-006; network policy","T-075 external adapter absence and future safe-failure gate","Undeclared external inference path","Architecture owner"
SRC-038,selected,"ADR-004; ADR-012; BG-005","R-076","Build assets; dependency inventory; Fly port policy","T-076 bundled inference plus exact 65535 allow readback and denied 53/80/443 probes","Declared runtime endpoint dependency or broader egress claim","Security owner"
SRC-039,selected,"ADR-007; BG-002; BG-003; SECURITY_DATA_FLOW Timeout order","R-077","BC-003; BC-004; BC-007; BC-013","T-077 3.0-second total body deadline, 200 ms worker acquisition, 6.25/7.5 worker/browser bounds, result-free 408/503/504, cancellation ownership, readiness 503, PID change, cleanup, and one-child recovery","Indefinite upload or queue, premature cleanup, blocking rewarm, partial result, or five-second hard cancel","Backend owner"
SRC-040,gated_should,"ADR-010; BG-008","R-078","Optional batch coordinator","T-078 core-first absence/gate test","Batch starts before core passes","Product owner"
SRC-041,gated_conditional,"ADR-010; BG-008","R-079","Optional batch manifest mapper","T-079 manifest/schema/safe-filename tests","Undocumented or unsafe pairing","Backend owner"
SRC-042,gated_conditional,"ADR-010; BG-008","R-080","Optional batch coordinator","T-080 row isolation/progress/cancel/retry","One row fails batch or progress lies","Backend owner"
SRC-043,gated_conditional,"ADR-010; BG-008","R-081","Optional batch review UI","T-081 exception-first filter/next-review journey","Batch hides exceptions","Frontend owner"
SRC-044,gated_conditional,"ADR-010; BG-008","R-082","Optional batch export","T-082 export schema and 250-row claim","Untested export/capacity claim","Product owner"
SRC-045,selected,"ADR-006; SECURITY_DATA_FLOW Data lifecycle","R-083","BC-004; BC-012; worker cleanup","T-083 synthetic notice/no-persistence/all-exit cleanup/log review","Content intentionally retained","Security owner"
SRC-046,selected,"SECURITY_DATA_FLOW THR-001 through THR-018","R-084","Public edge; BC-003 through BC-013","T-084 threat-control suite including global pre-body/spool/rate/key bounds, secret scan, and abuse controls","Any public-boundary control unowned or aggregate resource state unbounded","Security owner"
SRC-047,selected,"UX_PRODUCT_SPEC Public notice; SECURITY_DATA_FLOW Public notice contract","R-085","BC-001; release documentation","T-085 UI/README/deployed data-flow claim comparison","Privacy or capability claim exceeds proof","Product owner"
SRC-048,selected,"UX_PRODUCT_SPEC Content rules","R-086","BC-001","T-086 seal/identity/legal-action prohibited-copy scan","Official affiliation implied","Content owner"
SRC-049,selected,"assignment-source-baseline.md; UX_PRODUCT_SPEC Content rules","R-087","Fixtures; UI; documentation","T-087 public-artifact data-minimization scan","Personal anecdote/identity exposed","Content owner"
