finding_id,requirement_ids,test_ids,proof_relation
BAIRD-RT3-F001,"R-021;R-022","T-021;T-022","Pre-route actual-byte/multipart limits and decoded/working-pixel bounds"
BAIRD-RT3-F002,"R-007;R-028","T-007;T-028","Killable child ownership plus abort-storm/concurrency recovery"
BAIRD-RT3-F003,"R-028;R-035;R-036","T-028;T-035;T-036","Trusted identity normalization plus Host/Origin and cross-site rejection"
BAIRD-RT3-F004,"R-012;R-017;R-033","T-012;T-017;T-033","Bundled runtime and dependency inventory plus exact TCP-65535 allow readback, denied 53/80/443 probes, and bounded port-level claim"
BAIRD-RT3-F005,"R-004;R-032","T-004;T-032","Exact model BOM/rights stop plus supply-chain rebuild/hash/notice proof"
BAIRD-RT3-F006,"R-030","T-030","Content-free logs plus no-store/private and no-cache across public response classes"
BAIRD-RT3-F007,"R-008","T-008","Immutable release tuple, image digest promotion, readback, smoke, and rollback"
BAIRD-RT3-F008,"R-001 through R-096","T-001 through T-096","Complete ADR/BG/THR and SRC ownership graph validated by TRACEABILITY_VALIDATION.md"
RT3-RR1,"R-028","T-028","Public-edge trusted-header spoof, duplicate, malformed, forwarding-header, and limiter-key cases"
RT3-RR2,"R-030","T-030","No-store/private and no-cache assertions across every public response class and Fly URL"
RT3-RR3,"R-001 through R-096","T-001 through T-096","No missing join/orphan/duplicate and semantically audited finding citations"
RT1-B-RR3-F001,"R-005;R-013","T-005;T-013","Exact warning punctuation comparison, secondary uncertainty routing, mutation cases, and zero-false-clean oracle"
RT1-B-RR3-F002,"R-005;R-013","T-005;T-013","Distinct country alternatives route Review and retain all evidence references"
RT1-B-RR3-F003,"R-007;R-018","T-007;T-018","200 ms worker acquisition plus supervisor ownership across repeated cancellation, cleanup, replacement, and recovery"
RT1-B-RR3-F004,"R-021","T-021","Two-copy storage reservation, two actual near-limit multipart flows, 128 MiB quota, and zero-byte restoration"
RT1-B-RR3-F005,"R-012;R-032","T-012;T-032","Exact rules hash/version plus non-writable model and registry readiness and failure probes"
RT1-B-RR3-F006,"R-029","T-029","Application-owned 3.0 second total body deadline, slow-drip proof, pre-body overload, cleanup, and recovery"
RT1-B-RR3-F007,"R-014;R-015;R-016","T-014;T-015;T-016","Authoritative current evidence pointer plus separate 30-fixture implementation allocation and 37-case architecture corpus"
RT2-BAIRD-RR3-001,"R-005;R-013","T-005;T-013","Readable punctuation mutations become Mismatch, unconfirmed OCR punctuation becomes Review, and neither can become Match"
RT3-V3-F001,"R-029","T-029","Exact total upload clock and owner with no activity reset and no unsupported Fly total-request claim"
RT3-V3-F002,"R-014;R-015;R-016","T-014;T-015;T-016","Intake assumptions point to sealed current evidence and preserve separate fixture-allocation scope"
RT1-B-RR4-F001,"R-018;R-021;R-029","T-018;T-021;T-029","Real application parser limits, exact deadline and raw-overflow statuses, explicit partial-handle closure, and recovery"
RT2-BAIRD-RR4-001,"R-005;R-013","T-005;T-013","Typed value-to-evidence alternatives with exact S33 oracle and browser actions for each distinct candidate"
RT3-V4-F001,"R-021","T-021","Owned real-endpoint parser with 0/6/7/many part, field, malformed, per-file, aggregate, and raw-limit cases"
RT3-V4-F002,"R-018;R-029","T-018;T-029","Full-stack partial multipart disk-spool deadline with result-free 408, handle closure, exact baseline, and recovery"
RT3-V4-F003,"R-007;R-028;R-031","T-007;T-028;T-031","Repeated cancellation, abort storm, active/waiter shutdown, child ownership, cleanup, and recovery"
